address_ss58,airdrop_amount,total_dot,snapshot_dot,nompool_dot,crowdloan_dot,num_criteria,criteria1,criteria11,criteria12,criteria2,criteria3,criteria4,criteria5,criteria6
143zNreTgFG8oy2H8tMaYqMxwSw3yL7a4yK4QKbjWJaTkiUL,1337,5066.3447354627,271.8297608799,3404.5149745828,1390,8,1,1,1,1,1,1,1,1
14zJrZTexUcA1NZzQPPLusPppmsejSPQHU39yCNzLWSempGP,1337,15511.840414438,3405.2357563977,5499.4446469145,6607.1600111258,8,1,1,1,1,1,1,1,1
13BD8qt1Ptb2NRijSTCt9ef467ctDUNdqrFTrskB544vs8p2,1337,47626.2066298603,47604.2066298603,0,22,8,1,1,1,1,1,1,1,1
15Ay2npCwzRpwKijhpJf5wLEwrsaXJzaeeA4TnS1F5xiJrPS,1337,12403.1511204487,11544.5011204487,0,858.65,8,1,1,1,1,1,1,1,1
16MfNGBxJetj7k4sbePCknMqVWNFxVghhyqJYKxKKj7sQwCZ,1337,15708.125807473,15443.125807473,0,265,8,1,1,1,1,1,1,1,1
138Uziu7suP23QGpcYgbRS1J3nkRXAAPfcwRX8EaYtLnYRn8,1309,20527.0966042266,13819.9265897206,1,6706.170014506,7,1,1,1,1,0,1,1,1
145vVAZ2odHR8kGVoB4Xs2x7SVCRoE6TgbeQs5jsVvdvCtuL,1309,8118.418476628601,15.2604424355,7954.1580341931,149,7,1,1,1,1,0,1,1,1
1294V2gJHBdNRGioHxZcQSDW1Dny1A2YK4yQoVNZbwWRSCdU,1309,18177.621419803698,8413.6214198037,0,9764,7,1,1,1,1,0,1,1,1
12GhQzqykZVJ4vhgTPX3DiWH48yDQbsudurPYhbSRkEbozCe,1309,13196.1006169503,13161.1006169503,0,35,7,1,1,1,1,0,1,1,1
14oVMf6ZiuRqB3U7qcPRcbnVC6Vdc1N6rHB3DTvs2Mf4a7Ag,1292,7410.0944402959,10.0944402959,0,7400,6,1,1,1,0,0,1,1,1
12GScyod3WfX1HX7KiWxZuV37DYq1jiSX7G417LH8fzJox43,1260,6030.0774605237,6030.0774605237,0,0,7,1,1,1,1,1,1,1,0
15aeMKQnAmdq9TLMf9ZccZB3YUhrQsKAFLJCgai1gd88aPoG,1260,14992.6949938697,14992.6949938697,0,0,7,1,1,1,1,1,1,1,0
14wCnjLkpHCJDrDWAU2jUDbpmmyeFq27bmwzLRnVQ4fapnMT,1260,29234.1037368108,29234.1037368108,0,0,7,1,1,1,1,1,1,1,0
14z1sXx7wgjAXSGbqxvkF5bkKx1xsPm51Yr4ELcWE43uVMSk,1260,5602.7848559475,5602.7848559475,0,0,7,1,1,1,1,1,1,1,0
12TvJk3qftqusmJXamKmeMoA2mmgHiMVY4YbAPDFUgimsm4v,1260,5003.7021357256,5003.7021357256,0,0,7,1,1,1,1,1,1,1,0
12HbMAyUnz2YtnBAzyKqJiUAvVjtkYaYUojywRnn3xTQV5Li,1260,5002.5761459535,5002.5761459535,0,0,7,1,1,1,1,1,1,1,0
15feyMRq4VFUcNUdpytTBvf42A4x91RoVoVeVRvaezeNHyX3,1260,5788.0599464182,5788.0599464182,0,0,7,1,1,1,1,1,1,1,0
